year,month,enplaned domestic,enplaned connect,enplaned international,deplaned domestic,deplaned international,total
2012,1,1005885,484599,111533,1489266,111135,3202418
2012,2,1002761,454339,103941,1478831,106151,3146023
2012,3,1301537,473862,119202,1811615,120763,3826979
2012,4,1282711,330234,115367,1532436,107209,3367957
2012,5,1132575,513779,86081,1598853,81702,3412990
2012,6,1089270,594058,77990,1657483,75889,3494690
2012,7,1074367,621309,81241,1714646,84383,3575946
2012,8,1010273,597553,81518,1624689,83190,3397223
2012,9,918653,481008,60792,1430361,62039,2952853
2012,10,1108226,483318,79926,1620389,82881,3374740
2012,11,1090618,461086,98093,1553617,100027,3303441
2012,12,1047215,490458,104548,1643873,107578,3393672
2013,1,1026316,469894,112747,1517173,114981,3241111
2013,2,1015089,404198,100259,1435956,104496,3059998
2013,3,1352454,482574,109647,1860860,97916,3903451
2013,4,1181044,454574,114544,1549726,105130,3405018
2013,5,1175223,511558,80362,1626060,77573,3470776
2013,6,1099988,574445,80670,1652335,78856,3486294
2013,7,1047041,598549,76742,1679454,80517,3482303
2013,8,972596,601898,73128,1586683,75320,3309625
2013,9,926801,468183,53069,1418756,53243,2920052
2013,10,1103517,465963,74024,1588389,78023,3309916
2013,11,1069413,433572,96752,1521216,100108,3221061
2013,12,1152308,497590,109635,1659218,111919,3530670
2014,1,1069703,487226,111597,1578127,117159,3363812
2014,2,1066334,394486,103874,1485286,109094,3159074
2014,3,1419882,466901,127507,1886391,129180,4029861
2014,4,1237642,460400,118226,1661635,108715,3586618
2014,5,1213849,522189,89887,1675089,86370,3587384
2014,6,1126296,601579,79785,1705269,78753,3591682
2014,7,1122588,613919,82762,1772807,88477,3680553
2014,8,1024259,615429,78251,1662220,80448,3460607
2014,9,994464,438720,48166,1466678,50182,2998210
2014,10,1191933,466665,71049,1698028,77276,3504951
2014,11,1174056,423915,98910,1607774,101149,3405804
2014,12,1249420,491882,114798,1763626,117563,3737289
2015,1,1134634,443886,115943,1658914,114740,3468117
2015,2,1201143,371060,109023,1504508,111475,3297209
2015,3,1534658,446443,130590,2005125,133353,4250169
2015,4,1342689,471000,122256,1733120,110234,3779299
2015,5,1307235,510051,87339,1748244,83447,3736316
2015,6,1222599,588496,80731,1784174,79535,3755535
2015,7,1215520,638728,85008,1883252,89061,3911569
2015,8,1118916,615741,79001,1773240,81350,3668248
2015,9,1099074,460592,54362,1572015,55087,3241130
2015,10,1320430,429165,76525,1800420,81647,3708187
2015,11,1332497,348613,91740,1674020,94098,3540968
2015,12,1345131,395242,106371,1759112,104893,3710749
2016,1,1265494,361879,104427,1640124,115295,3487219
2016,2,1160798,427060,105412,1597537,109213,3400020
2016,3,1491474,514577,125654,2036408,128411,4296524
2016,4,1320532,477264,98023,1724241,115129,3735189
2016,5,1312902,518824,81091,1762742,60620,3736179
2016,6,1222917,590598,63854,1780466,63151,3720986
2016,7,1166275,588530,69085,1792212,74577,3690679
2016,8,1079947,533723,57278,1636568,59755,3367271
2016,9,1125622,412531,38754,1554607,38724,3170238
2016,10,1306905,387172,69865,1727617,73329,3564888
2016,11,1279336,408275,89117,1690935,89311,3556974
2016,12,1245152,495029,106105,1768454,70684,3685424
2017,1,1201287,439051,96483,1655477,99993,3492291
2017,2,1215082,360596,94041,1584402,99267,3353388
2017,3,1579528,431414,113252,2034059,123128,4281381
2017,4,1425927,442695,104639,1766078,97816,3837155
2017,5,1340738,524865,80962,1791580,77250,3815395
2017,6,1134857,694094,82174,1771607,79002,3761734
2017,7,1051169,722588,74055,1798611,82278,3728701
2017,8,984663,712411,64063,1705060,63813,3530010
2017,9,987397,538219,48020,1528687,48711,3151034
2017,10,1208186,528205,72083,1766318,76877,3651669
2017,11,1219205,491795,88945,1706236,91479,3597660
2017,12,1188685,564245,111095,1749580,107647,3721252
2018,1,1132628,534589,98958,1702853,115996,3585024
2018,2,1179207,453085,96540,1630765,101986,3461583
2018,3,1507471,547346,119774,2081627,123130,4379348
2018,4,1348315,535450,106072,1776356,95822,3862015
2018,5,1302139,610985,80510,1832822,75190,3901646
2018,6,1182368,647230,81219,1781058,78578,3770453
2018,7,1120315,684652,74715,1852011,82793,3814486
2018,8,1046734,672639,63520,1724579,65181,3572653
2018,9,1040283,518503,54018,1575232,56138,3244174
2018,10,1267519,533554,79522,1825152,85647,3791394
2018,11,1271414,497517,94096,1761698,96579,3721304
2018,12,1217735,585039,114108,1811312,111412,3839606
2019,1,1166762,562296,98007,1760668,105474,3693207
2019,2,1201478,481891,96962,1670705,100369,3551405
2019,3,1586648,571971,117178,2130145,117278,4523220
2019,4,1360265,579424,107232,1852721,98945,3998587
2019,5,1338216,599493,85165,1851611,76902,3951387
2019,6,1202330,662720,78024,1813233,73705,3830012
2019,7,1130778,689341,73513,1857932,81000,3832564
2019,8,1071632,685589,65647,1760768,68248,3651884
2019,9,1103381,562432,55622,1675869,56474,3453778
2019,10,1314218,539331,79741,1892607,86756,3912653
2019,11,1280324,481997,92602,1757893,93432,3706248
2019,12,1383348,605865,104104,1990288,99787,4183392
2020,1,1231239,573379,87425,1850787,95487,3838317
2020,2,1296726,503024,92868,1792891,94228,3779737
2020,3,878155,278070,66064,1123853,52167,2398309
2020,4,106075,38746,547,136224,651,282243
2020,5,234642,63927,392,284822,500,584283
2020,6,401975,160772,3627,532518,3251,1102143
2020,7,421891,245259,14789,654100,15768,1351807
2020,8,439234,255025,6793,700451,8346,1409849
2020,9,518991,255150,10188,782123,12072,1578524
2020,10,659137,249884,26966,935428,29453,1900868
2020,11,645000,230971,32470,871904,37359,1817704
2020,12,629216,259467,43837,908437,43967,1884924
2021,1,593249,229903,28194,798135,35113,1684594
2021,2,646938,215139,23725,881568,25214,1792584
2021,3,1077243,360659,40964,1481209,42602,3002677
2021,4,1140003,429216,49595,1500842,50358,3170014
2021,5,1230741,526624,55277,1682889,51886,3547417
2021,6,1206994,591116,52181,1734499,54188,3638978
2021,7,1187752,660157,51440,1863552,56692,3819593
2021,8,1035028,619449,39290,1662607,46245,3402619
2021,9,1128744,489772,38191,1604519,41715,3302941
2021,10,1342644,483297,61194,1854078,73328,3814541
2021,11,1335860,532195,76254,1846495,79552,3870356
2021,12,1256144,566485,89157,1805486,83127,3800399
2022,1,1026257,417261,58292,1444031,62042,3007883
2022,2,1178690,395121,65137,1581824,66701,3287473
2022,3,1546012,496575,92456,2035567,93218,4263828
2022,4,1432157,468383,98951,1827767,90705,3917963
2022,5,1406965,474989,91739,1777042,82783,3833518
2022,6,1231632,524871,92839,1683549,84695,3617586
2022,7,1154048,577854,85489,1759334,95069,3671794
2022,8,1090819,573573,71211,1668766,77255,3481624
2022,9,1187743,481459,73865,1692010,72689,3507766
2022,10,1538603,363637,97450,1929498,102175,4031363
2022,11,1469305,377894,117147,1823243,114718,3902307
2022,12,1312387,514428,111061,1824918,111955,3874749
2023,1,1283456,532888,107200,1816468,113020,3853032
2023,2,1328646,463929,110304,1800166,113371,3816416
2023,3,1693538,487545,132600,2171503,130458,4615644
2023,4,1548606,522560,116819,1963002,109443,4260430
2023,5,1541815,520479,101277,1943304,92890,4199765
2023,6,1312826,519580,98725,1794823,92357,3818311
2023,7,1244094,569934,94661,1868700,103050,3880439
2023,8,1179464,541525,80883,1698153,82518,3582543
2023,9,1309560,496646,74652,1779661,73823,3734342
2023,10,1561175,497828,101610,2081702,107316,4349631
2023,11,1528907,513962,121560,2000775,123201,4288405
2023,12,1472570,553134,127681,1978867,123222,4255474
2024,1,1284421,555001,118400,1852355,128855,3939032
2024,2,1434436,504813,119288,1941086,123415,4123038
2024,3,1664022,704092,144863,2401966,149464,5064407
2024,4,1550537,627643,138076,2081480,128360,4526096
